date,ouv,haut,bas,clot,vol,devise,Unnamed: 7,USDCHFopen,USDCHFhigh,USDCHFlow,USDCHFclose,USDEURopen,USDEURhigh,USDEURlow,USDEURclose,USDGBPopen,USDGBPhigh,USDGBPlow,USDGBPclose,USDJPYopen,USDJPYhigh,USDJPYlow,USDJPYclose,USDCNYopen,USDCNYhigh,USDCNYlow,USDCNYclose,USDGDopen,USDGDhigh,USDGDlow,USDGDclose
2021-01-18 00:00:00+00:00,1801.4,1803.8,1801.4,1830.1,0,USD,,0.8923199772834778,0.8923900127410889,0.8897500038146973,0.8921800255775452,0.8286899924278259,0.8295000195503235,0.8273900151252747,0.8286299705505371,0.7366899847984314,0.7395899891853333,0.7358400225639343,0.7366300225257874,103.91200256347656,103.9229965209961,103.63899993896484,103.90799713134766,6.479800224304199,6.496099948883057,6.477200031280518,6.479700088500977,1.3316099643707275,1.3335100412368774,1.3295999765396118,1.331380009651184
2021-01-15 00:00:00+00:00,1801.4,1803.8,1801.4,1830.1,0,USD,,0.8882499933242798,0.8903800249099731,0.8867999911308289,0.8882499933242798,0.822842001914978,0.827489972114563,0.8222000002861023,0.8229600191116333,0.7307999730110168,0.7366999983787537,0.7300400137901306,0.7307999730110168,103.83699798583984,103.88500213623048,103.62000274658205,103.8280029296875,6.473100185394287,6.480100154876709,6.454800128936768,6.473100185394287,1.3241900205612185,1.3310400247573853,1.323300004005432,1.324180006980896
2021-01-14 00:00:00+00:00,1801.4,1803.8,1801.4,1853.0,0,USD,,0.88714998960495,0.8915650248527527,0.8863999843597412,0.886900007724762,0.8222500085830688,0.8255500197410583,0.8215000033378601,0.8222000002861023,0.7327499985694885,0.7343599796295166,0.7302899956703186,0.7326400279998779,103.84500122070312,104.18800354003906,103.64199829101562,103.83699798583984,6.4670000076293945,6.474400043487549,6.45989990234375,6.4670000076293945,1.3257100582122805,1.3281500339508057,1.323699951171875,1.3251999616622925
2021-01-13 00:00:00+00:00,1801.4,1803.8,1801.4,1855.5,0,USD,,0.8859000205993652,0.8888900279998779,0.8850499987602234,0.8859000205993652,0.8190500140190125,0.8226799964904785,0.8180000185966492,0.8190749883651733,0.7315880060195923,0.7340800166130066,0.7299299836158752,0.7315000295639038,103.7480010986328,103.98799896240234,103.54000091552734,103.7519989013672,6.462900161743164,6.470600128173828,6.451300144195557,6.462900161743164,1.322950005531311,1.3269399404525757,1.3212000131607056,1.3230199813842771
2021-01-12 00:00:00+00:00,1801.4,1803.8,1801.4,1844.3,0,USD,,0.8895999789237976,0.891569972038269,0.8889999985694885,0.8896200060844421,0.8222600221633911,0.8238000273704529,0.821120023727417,0.8223209977149963,0.739329993724823,0.7403200268745422,0.7333700060844421,0.7394199967384338,104.13200378417967,104.31900024414062,104.08999633789062,104.12799835205078,6.479700088500977,6.479899883270264,6.454100131988525,6.479700088500977,1.3298799991607666,1.3319799900054932,1.32669997215271,1.33024001121521
2021-01-11 00:00:00+00:00,1801.4,1803.8,1801.4,1851.0,0,USD,,0.8874099850654602,0.892009973526001,0.8868399858474731,0.8876399993896484,0.8204900026321411,0.8240799903869629,0.8197000026702881,0.8205999732017517,0.7395899891853333,0.7432600259780884,0.739109992980957,0.7398499846458435,104.072998046875,104.38899993896484,104.03700256347656,104.09100341796876,6.474400043487549,6.490600109100342,6.46750020980835,6.474299907684326,1.3286700248718262,1.3322999477386477,1.327739953994751,1.3286199569702148
2021-01-08 00:00:00+00:00,1801.4,1803.8,1801.4,1835.7,0,USD,,0.8853099942207336,0.8883600234985352,0.8824300169944763,0.8851500153541565,0.8150799870491028,0.8186699748039246,0.8141899704933167,0.8148999810218811,0.7370200157165527,0.7385299801826477,0.7335799932479858,0.7369400262832642,103.79499816894533,104.0780029296875,103.61699676513672,103.79000091552734,6.477200031280518,6.477399826049805,6.453800201416016,6.477200031280518,1.3245999813079834,1.328529953956604,1.3212000131607056,1.3242199420928955
2021-01-07 00:00:00+00:00,1801.4,1803.8,1801.4,1913.1,0,USD,,0.8781099915504456,0.8860300183296204,0.8774899840354919,0.8780699968338013,0.8105199933052063,0.8165500164031982,0.8100000023841858,0.8102999925613403,0.7340899705886841,0.7384799718856812,0.7334700226783752,0.7339299917221069,103.02799987792967,103.95099639892578,102.95600128173828,103.02400207519533,6.460700035095215,6.478000164031982,6.446499824523926,6.460700035095215,1.3174500465393066,1.3265000581741333,1.31659996509552,1.3174500465393066
2021-01-06 00:00:00+00:00,1801.4,1803.8,1801.4,1907.4,0,USD,,0.8781800270080566,0.8819800019264221,0.8755000233650208,0.8781800270080566,0.8130999803543091,0.8151999711990356,0.8097000122070312,0.8129900097846985,0.7338700294494629,0.7383900284767151,0.7315400242805481,0.7336999773979187,102.6999969482422,103.43099975585938,102.58999633789062,102.6780014038086,6.4552001953125,6.462299823760986,6.443699836730957,6.4552001953125,1.317620038986206,1.3209199905395508,1.3152999877929688,1.3172099590301514
2021-01-05 00:00:00+00:00,1801.4,1803.8,1801.4,1951.6,0,USD,,0.8812500238418579,0.8815699815750122,0.8782699704170227,0.8812400102615356,0.8161299824714661,0.8163300156593323,0.8133500218391418,0.8162199854850769,0.7367600202560425,0.7376999855041504,0.7339000105857849,0.7368329763412476,103.14199829101562,103.18000030517578,102.6719970703125,103.125,6.4604997634887695,6.46619987487793,6.429399967193604,6.4604997634887695,1.3202999830245972,1.3206199407577517,1.3167999982833862,1.320289969444275
