date,TALUSD
11/04/2018 00:00,1.2408284274750563
12/04/2018 00:00,1.2339218015093862
13/04/2018 00:00,1.2364164767929584
16/04/2018 00:00,1.237953345417865
17/04/2018 00:00,1.2376441534651215
18/04/2018 00:00,1.2378473529527547
19/04/2018 00:00,1.234904851123039
20/04/2018 00:00,1.2299129112751082
23/04/2018 00:00,1.2209948931348666
24/04/2018 00:00,1.2240565809508352
25/04/2018 00:00,1.2173181147582752
26/04/2018 00:00,1.213086402561992
27/04/2018 00:00,1.2160945347008347
30/04/2018 00:00,1.2126219698343157
01/05/2018 00:00,1.2045785997779286
02/05/2018 00:00,1.2029349441797335
03/05/2018 00:00,1.2067360755529744
04/05/2018 00:00,1.2066039827151915
07/05/2018 00:00,1.2040532996890037
08/05/2018 00:00,1.2023941798583886
09/05/2018 00:00,1.2007597710644744
10/05/2018 00:00,1.2057199484468175
11/05/2018 00:00,1.2076652695345638
14/05/2018 00:00,1.2053018816475722
15/05/2018 00:00,1.1949006546153143
16/05/2018 00:00,1.1946672763369457
17/05/2018 00:00,1.193353999723776
18/05/2018 00:00,1.1933738434757466
21/05/2018 00:00,1.1927941847839616
22/05/2018 00:00,1.1940605927153611
23/05/2018 00:00,1.1913832695366287
24/05/2018 00:00,1.1970026161895433
25/05/2018 00:00,1.1940316079325677
28/05/2018 00:00,1.1914223345962538
29/05/2018 00:00,1.190018185055292
30/05/2018 00:00,1.1937436673339232
31/05/2018 00:00,1.195072660525218
01/06/2018 00:00,1.1919809860309856
04/06/2018 00:00,1.1921391169990259
05/06/2018 00:00,1.1951292832452518
06/06/2018 00:00,1.1962277272500916
07/06/2018 00:00,1.198060102313887
08/06/2018 00:00,1.1965055417299455
11/06/2018 00:00,1.1964024548235659
12/06/2018 00:00,1.1937528028948146
13/06/2018 00:00,1.1956327080971332
14/06/2018 00:00,1.188773876659373
15/06/2018 00:00,1.182858481265204
18/06/2018 00:00,1.183200574198238
19/06/2018 00:00,1.180425867641226
20/06/2018 00:00,1.1790343751411565
21/06/2018 00:00,1.1797491403760383
22/06/2018 00:00,1.1814276435993223
25/06/2018 00:00,1.1804659485149123
26/06/2018 00:00,1.1752174567990696
27/06/2018 00:00,1.1695544902029213
28/06/2018 00:00,1.1669673620394432
29/06/2018 00:00,1.1732326953150112
02/07/2018 00:00,1.1659445133484179
03/07/2018 00:00,1.1706942014159456
04/07/2018 00:00,1.1728138285290597
05/07/2018 00:00,1.173016410522284
06/07/2018 00:00,1.1747845959896108
09/07/2018 00:00,1.1755402414744263
10/07/2018 00:00,1.173755374423191
11/07/2018 00:00,1.165678018831283
12/07/2018 00:00,1.1651692947660355
13/07/2018 00:00,1.16421895256893
16/07/2018 00:00,1.1650610669501056
17/07/2018 00:00,1.1586337043922001
18/07/2018 00:00,1.1580306797240691
19/07/2018 00:00,1.1565093119588623
20/07/2018 00:00,1.1623550595207415
23/07/2018 00:00,1.1591787880286364
24/07/2018 00:00,1.1593685024398033
25/07/2018 00:00,1.1634776697941693
26/07/2018 00:00,1.1582275063897254
27/07/2018 00:00,1.1578528804400237
30/07/2018 00:00,1.159561485106535
31/07/2018 00:00,1.157935236349783
01/08/2018 00:00,1.155712281069242
02/08/2018 00:00,1.1509715226510548
03/08/2018 00:00,1.152650865295943
06/08/2018 00:00,1.148967056175196
07/08/2018 00:00,1.1514354018112702
08/08/2018 00:00,1.1530154331464424
09/08/2018 00:00,1.1506262396187514
10/08/2018 00:00,1.1466642948269878
13/08/2018 00:00,1.1407251585421334
14/08/2018 00:00,1.1388827400653396
15/08/2018 00:00,1.1346983488079536
16/08/2018 00:00,1.1363365134708292
17/08/2018 00:00,1.1397118482802049
20/08/2018 00:00,1.1449301516495478
21/08/2018 00:00,1.1495328020636715
22/08/2018 00:00,1.1508019820028543
23/08/2018 00:00,1.1442452441835442
24/08/2018 00:00,1.1534517085724487
27/08/2018 00:00,1.1554842422527731
28/08/2018 00:00,1.156443767101081
29/08/2018 00:00,1.1560588497465802
30/08/2018 00:00,1.1539704790832401
31/08/2018 00:00,1.1536383241275008
03/09/2018 00:00,1.1522198494916904
04/09/2018 00:00,1.1486119196957418
05/09/2018 00:00,1.1511286069383955
06/09/2018 00:00,1.153321339266382
07/09/2018 00:00,1.149819834666343
10/09/2018 00:00,1.1500382491602177
11/09/2018 00:00,1.1493825548603722
12/09/2018 00:00,1.1535173717809242
13/09/2018 00:00,1.1544454886647575
14/09/2018 00:00,1.1500052584651113
17/09/2018 00:00,1.1542333907979925
18/09/2018 00:00,1.1524824611705133
19/09/2018 00:00,1.1538373606525514
20/09/2018 00:00,1.158720306689043
21/09/2018 00:00,1.1548610120421199
24/09/2018 00:00,1.153746951336529
25/09/2018 00:00,1.1545765470426153
26/09/2018 00:00,1.1525600356173082
27/09/2018 00:00,1.1446088143101654
28/09/2018 00:00,1.146069880792376
01/10/2018 00:00,1.142725403906414
02/10/2018 00:00,1.1452422780045126
03/10/2018 00:00,1.1404888288859178
04/10/2018 00:00,1.1419125368213754
05/10/2018 00:00,1.1440662496765497
08/10/2018 00:00,1.1381839131206262
09/10/2018 00:00,1.1395835622699049
10/10/2018 00:00,1.1425503349614063
11/10/2018 00:00,1.1521529778489779
12/10/2018 00:00,1.1491620663685542
15/10/2018 00:00,1.152559459016522
16/10/2018 00:00,1.1516651183354545
17/10/2018 00:00,1.1472195123011524
18/10/2018 00:00,1.1461020871179628
19/10/2018 00:00,1.1480652873905504
22/10/2018 00:00,1.144029206573537
23/10/2018 00:00,1.1476078164946715
24/10/2018 00:00,1.144178257096872
