,Currency,Mean,Median,Standard Deviation,5th Percentile,95th Percentile,VaR,ES
0,USDCHF,0.9935699093748669,0.9925551489074429,0.07084452925442722,0.8811178263055915,1.1146294755312978,0.00747516786365876,0.010302302375874808
1,USDEUR,1.0290516441055957,1.0247138954856199,0.08025511427715146,0.9055481387306789,1.1615126770967763,0.007873431480081407,0.010692702106288997
2,USDGBP,1.0317018930085273,1.0253048134281524,0.10334741275836819,0.8767693046263094,1.2123851228952003,0.010166129979706532,0.013997703025279596
3,USDJPY,1.0439201638475064,1.035832681497482,0.08715674533391804,0.9090985243579611,1.1907561980126857,0.008632437659234373,0.012687847518893932
4,USDCNY,1.0201636147325526,1.0193056150533408,0.048552788619037404,0.9384976368948951,1.1011694077924894,0.0048419756329230595,0.006971201748964968
5,USDSGD,1.0062231950721259,1.005263475666712,0.04543123301410365,0.9352928868142875,1.0863039604035984,0.004508668381491763,0.0059906848318605575
6,USDGOLD,1.0986237733151403,1.0893637736321637,0.16424955338194247,0.845579529442106,1.3969673619857734,0.015682824980524774,0.02224946792069793
7,TALUSD,1.0060094905418548,1.0025273057458493,0.07166542466521278,0.8938122626515398,1.1275946370861687,0.0070484332978633995,0.00959553976309225
