,USDCHFopen,USDCHFhigh,USDCHFlow,USDCHFclose,USDEURopen,USDEURhigh,USDEURlow,USDEURclose,USDGBPopen,USDGBPhigh,USDGBPlow,USDGBPclose,USDJPYopen,USDJPYhigh,USDJPYlow,USDJPYclose,USDCNYopen,USDCNYhigh,USDCNYlow,USDCNYclose,USDGDopen,USDGDhigh,USDGDlow,USDGDclose
2017-01-03 00:00:00+00:00,1.0240999460220337,1.0332399606704712,1.0211000442504885,1.0241899490356443,0.9560999870300292,0.9664000272750854,0.9531000256538392,0.9560199975967408,0.8141999840736389,0.8194000124931335,0.8123000264167786,0.8141999840736389,117.48799896240234,118.59300231933594,117.28600311279295,117.49500274658205,6.943999767303467,6.960400104522705,6.934999942779541,6.943999767303467,1.4498900175094604,1.454200029373169,1.4457999467849731,1.451300024986267
2017-01-04 00:00:00+00:00,1.0262199640274048,1.0290499925613403,1.0235600471496582,1.0261000394821167,0.9598399996757508,0.9623399972915648,0.9542999863624572,0.9596999883651732,0.8165900111198425,0.8180999755859375,0.8131999969482422,0.8166199922561646,117.6780014038086,118.1760025024414,117.06800079345705,117.65899658203124,6.95989990234375,6.960100173950195,6.934299945831299,6.959799766540527,1.4487500190734863,1.4505399465560913,1.438599944114685,1.4487500190734863
2017-01-05 00:00:00+00:00,1.0200599431991575,1.0219000577926636,1.0095100402832031,1.0201200246810913,0.9524999856948853,0.9535999894142152,0.9426000118255616,0.9523000121116638,0.8111600279808044,0.8148999810218811,0.8052999973297119,0.811240017414093,117.05599975585938,117.08499908447266,115.29299926757812,117.11299896240234,6.934100151062012,6.934100151062012,6.860499858856201,6.925099849700928,1.4384900331497192,1.440500020980835,1.4279299974441528,1.438480019569397
2017-01-06 00:00:00+00:00,1.0098999738693235,1.0166499614715576,1.0097700357437134,1.0097899436950684,0.942900002002716,0.9488000273704528,0.9426000118255616,0.942870020866394,0.8048999905586243,0.8127999901771545,0.8048999905586243,0.8047999739646912,115.31800079345705,116.74400329589844,115.26300048828124,115.26499938964844,6.888000011444092,6.92549991607666,6.874100208282471,6.887899875640869,1.4287899732589722,1.438330054283142,1.4282000064849854,1.4284600019454956
2017-01-09 00:00:00+00:00,1.0174000263214111,1.0196000337600708,1.0156999826431274,1.0174200534820557,0.9492999911308287,0.9511600136756896,0.9469000101089478,0.9495000243186952,0.8156800270080566,0.8245999813079834,0.8148000240325928,0.8155999779701233,117.15899658203124,117.52400207519533,116.18299865722656,117.1500015258789,6.917600154876709,6.936999797821045,6.910699844360352,6.917500019073486,1.4391000270843506,1.443619966506958,1.4359999895095823,1.438969969749451
2017-01-10 00:00:00+00:00,1.0143799781799316,1.0163099765777588,1.01104998588562,1.0140399932861328,0.9445000290870668,0.9467999935150146,0.941100001335144,0.9444100260734558,0.8216000199317932,0.8256000280380249,0.8206999897956848,0.8214600086212158,115.99600219726562,116.33300018310548,115.2030029296875,115.98500061035156,6.936699867248535,6.936699867248535,6.913899898529053,6.936699867248535,1.434980034828186,1.4380099773406982,1.43149995803833,1.4348100423812866
2017-01-11 00:00:00+00:00,1.0168800354003906,1.0247199535369873,1.015570044517517,1.0168299674987793,0.9474999904632568,0.9563000202178956,0.9463000297546388,0.9476500153541564,0.8213000297546387,0.830299973487854,0.8198999762535095,0.821399986743927,115.875,116.83499908447266,115.68099975585938,115.87200164794922,6.92110013961792,6.936500072479248,6.911499977111816,6.921199798583984,1.4371000528335571,1.4407600164413452,1.434499979019165,1.437059998512268
2017-01-12 00:00:00+00:00,1.013159990310669,1.0148600339889526,1.0053000450134275,1.0130300521850586,0.9437000155448914,0.9455999732017516,0.9358000159263612,0.9435999989509584,0.8188999891281128,0.8216999769210815,0.8119000196456909,0.8187000155448914,115.05500030517578,115.21900177001952,113.76000213623048,115.0979995727539,6.936100006103516,6.936399936676025,6.8850998878479,6.936100006103516,1.4253300428390503,1.428979992866516,1.4214999675750732,1.425819993019104
2017-01-13 00:00:00+00:00,1.0104800462722778,1.0116300582885742,1.0055099725723269,1.0103000402450562,0.9417999982833862,0.943395972251892,0.9373999834060668,0.9419000148773192,0.8219000101089478,0.8248000144958496,0.8179000020027161,0.8220000267028809,114.6959991455078,115.38800048828124,114.28399658203124,114.66400146484376,6.894899845123291,6.900000095367432,6.876999855041504,6.894899845123291,1.42631995677948,1.433500051498413,1.4249999523162842,1.4256800413131714
2017-01-16 00:00:00+00:00,1.0099899768829346,1.013450026512146,1.008999943733215,1.0098299980163574,0.9410099983215332,0.9450600147247314,0.940429985523224,0.940850019454956,0.8307399749755859,0.8336700201034546,0.8273000121116638,0.8306099772453308,114.26200103759766,114.4489974975586,113.6959991455078,114.22699737548828,6.898900032043457,6.901100158691406,6.884600162506104,6.898799896240234,1.427690029144287,1.430719971656799,1.42671000957489,1.4279099702835083
