date,USDAUX,USDCHF,USDEUR,USDGBP,USDJPY,USDCNY,USDCHF,USDSGD
2023-03-24 00:00:00+00:00,1977.47,0.9164000153541564,0.9229300022125244,0.8142300248146057,130.86500549316406,6.818399906158447,0.9164000153541564,1.3274999856948853
2023-03-23 00:00:00+00:00,1993.84,0.9165199995040894,0.9199299812316896,0.8143500089645386,131.1790008544922,6.879199981689453,0.9165199995040894,1.329609990119934
2023-03-22 00:00:00+00:00,1969.94,0.9214699864387512,0.9281399846076964,0.8179900050163269,132.34800720214844,6.882999897003174,0.9214699864387512,1.3367799520492554
2023-03-21 00:00:00+00:00,1940.53,0.929199993610382,0.9329100251197816,0.8145800232887268,131.39199829101562,6.877699851989746,0.929199993610382,1.3372000455856323
2023-03-20 00:00:00+00:00,1979.09,0.9267399907112122,0.9364299774169922,0.8205000162124634,132.28399658203125,6.886099815368652,0.9267399907112122,1.3404200077056885
2023-03-17 00:00:00+00:00,1989.01,0.92917001247406,0.9421399831771852,0.82573002576828,133.3679962158203,6.897500038146973,0.92917001247406,1.3459700345993042
2023-03-16 00:00:00+00:00,1919.47,0.931029975414276,0.9448800086975098,0.8285499811172485,132.9290008544922,6.905900001525879,0.931029975414276,1.351009964942932
2023-03-15 00:00:00+00:00,1918.39,0.9144999980926514,0.9321699738502502,0.8228999972343445,134.39700317382812,6.870500087738037,0.9144999980926514,1.345080018043518
2023-03-14 00:00:00+00:00,1902.4,0.9124910235404968,0.9323999881744384,0.8216000199317932,133.11399841308594,6.844600200653076,0.9124910235404968,1.3467999696731567
2023-03-13 00:00:00+00:00,1913.56,0.91839998960495,0.9360100030899048,0.8278599977493286,134.97999572753906,6.905200004577637,0.91839998960495,1.3473800420761108
2023-03-10 00:00:00+00:00,1867.83,0.9328500032424928,0.9447600245475768,0.8387500047683716,136.39500427246094,6.963600158691406,0.9328500032424928,1.353219985961914
2023-03-09 00:00:00+00:00,1830.92,0.9408699870109558,0.9479100108146667,0.8438699841499329,137.2259979248047,6.950300216674805,0.9408699870109558,1.3531999588012695
2023-03-08 00:00:00+00:00,1813.81,0.942229986190796,0.9477999806404114,0.8454700112342834,137.39100646972656,6.961400032043457,0.942229986190796,1.3544600009918213
2023-03-07 00:00:00+00:00,1814.06,0.9306899905204772,0.9355999827384948,0.8314999938011169,135.99899291992188,6.929399967193604,0.9306899905204772,1.345139980316162
2023-03-06 00:00:00+00:00,1846.92,0.9368000030517578,0.941070020198822,0.8313599824905396,135.86000061035156,6.906799793243408,0.9368000030517578,1.345170021057129
2023-03-03 00:00:00+00:00,1855.0,0.9418699741363524,0.9434199929237366,0.8367099761962891,136.7050018310547,6.91379976272583,0.9418699741363524,1.3473299741744995
2023-03-02 00:00:00+00:00,1836.26,0.9394699931144714,0.9373000264167786,0.8312600255012512,136.19400024414062,6.868000030517578,0.9394699931144714,1.341920018196106
2023-03-01 00:00:00+00:00,1837.18,0.941868007183075,0.9454200267791748,0.8310099840164185,136.34800720214844,6.932300090789795,0.941868007183075,1.348330020904541
2023-02-28 00:00:00+00:00,1826.65,0.9355999827384948,0.9423999786376952,0.8290799856185913,136.31700134277344,6.943900108337402,0.9355999827384948,1.346500039100647
2023-02-27 00:00:00+00:00,1816.48,0.9400299787521362,0.9474400281906128,0.836650013923645,136.39500427246094,6.954999923706055,0.9400299787521362,1.3495899438858032
2023-02-24 00:00:00+00:00,1811.04,0.9336900115013124,0.9435700178146362,0.832099974155426,134.6280059814453,6.9070000648498535,0.9336900115013124,1.342829942703247
2023-02-23 00:00:00+00:00,1824.29,0.9312400221824646,0.9428799748420716,0.8298799991607666,134.9320068359375,6.891300201416016,0.9312400221824646,1.3401999473571775
2023-02-22 00:00:00+00:00,1825.26,0.9275000095367432,0.9387900233268738,0.8258100152015686,134.9759979248047,6.872499942779541,0.9275000095367432,1.3402299880981443
2023-02-21 00:00:00+00:00,1835.13,0.9231799840927124,0.9361000061035156,0.8306199908256531,134.33599853515625,6.854100227355957,0.9231799840927124,1.3359400033950806
2023-02-20 00:00:00+00:00,1841.44,0.92535001039505,0.9359400272369384,0.8312699794769287,134.3070068359375,6.857600212097168,0.92535001039505,1.337030053138733
2023-02-17 00:00:00+00:00,1841.46,0.926460027694702,0.9375799894332886,0.8350499868392944,134.07400512695312,6.859700202941895,0.926460027694702,1.3370100259780884
2023-02-16 00:00:00+00:00,1837.87,0.923359990119934,0.9352999925613404,0.8305799961090088,133.9029998779297,6.851900100708008,0.923359990119934,1.3354699611663818
2023-02-15 00:00:00+00:00,1834.59,0.92153000831604,0.931469976902008,0.821399986743927,132.99099731445312,6.825900077819824,0.92153000831604,1.3284599781036377
2023-02-14 00:00:00+00:00,1855.61,0.918619990348816,0.9319300055503844,0.8228999972343445,132.33700561523438,6.821899890899658,0.918619990348816,1.3280400037765503
2023-02-13 00:00:00+00:00,1853.62,0.9237899780273438,0.9365299940109252,0.8297200202941895,131.55099487304688,6.808300018310547,0.9237899780273438,1.329609990119934
2023-02-10 00:00:00+00:00,1864.82,0.921974003314972,0.930899977684021,0.8252999782562256,131.5189971923828,6.779699802398682,0.921974003314972,1.325369954109192
2023-02-09 00:00:00+00:00,1861.3,0.9209100008010864,0.9332000017166138,0.8284000158309937,131.38699340820312,6.7881999015808105,0.9209100008010864,1.3258600234985352
2023-02-08 00:00:00+00:00,1876.31,0.9216499924659728,0.9319900274276732,0.8295599818229675,131.04200744628906,6.791200160980225,0.9216499924659728,1.323199987411499
