date,TALUSD
2018-11-04,1.2408284274750563
2018-12-04,1.2339218015093862
2018-04-13,1.2364164767929584
2018-04-16,1.237953345417865
2018-04-17,1.2376441534651215
2018-04-18,1.2378473529527547
2018-04-19,1.234904851123039
2018-04-20,1.2299129112751082
2018-04-23,1.2209948931348666
2018-04-24,1.2240565809508352
2018-04-25,1.2173181147582752
2018-04-26,1.213086402561992
2018-04-27,1.2160945347008347
2018-04-30,1.2126219698343157
2018-01-05,1.2045785997779286
2018-02-05,1.2029349441797335
2018-03-05,1.2067360755529744
2018-04-05,1.2066039827151915
2018-07-05,1.2040532996890037
2018-08-05,1.2023941798583886
2018-09-05,1.2007597710644744
2018-10-05,1.2057199484468175
2018-11-05,1.2076652695345638
2018-05-14,1.2053018816475722
2018-05-15,1.1949006546153143
2018-05-16,1.1946672763369457
2018-05-17,1.193353999723776
2018-05-18,1.1933738434757466
2018-05-21,1.1927941847839616
2018-05-22,1.1940605927153611
2018-05-23,1.1913832695366287
2018-05-24,1.1970026161895433
2018-05-25,1.1940316079325677
2018-05-28,1.1914223345962538
2018-05-29,1.190018185055292
2018-05-30,1.1937436673339232
2018-05-31,1.195072660525218
2018-01-06,1.1919809860309856
2018-04-06,1.1921391169990259
2018-05-06,1.1951292832452518
2018-06-06,1.1962277272500916
2018-07-06,1.198060102313887
2018-08-06,1.1965055417299455
2018-11-06,1.1964024548235659
2018-12-06,1.1937528028948146
2018-06-13,1.1956327080971332
2018-06-14,1.188773876659373
2018-06-15,1.182858481265204
2018-06-18,1.183200574198238
2018-06-19,1.180425867641226
2018-06-20,1.1790343751411565
2018-06-21,1.1797491403760383
2018-06-22,1.1814276435993223
2018-06-25,1.1804659485149123
2018-06-26,1.1752174567990696
2018-06-27,1.1695544902029213
2018-06-28,1.1669673620394432
2018-06-29,1.1732326953150112
2018-02-07,1.1659445133484179
2018-03-07,1.1706942014159456
2018-04-07,1.1728138285290597
2018-05-07,1.173016410522284
2018-06-07,1.1747845959896108
2018-09-07,1.1755402414744263
2018-10-07,1.173755374423191
2018-11-07,1.165678018831283
2018-12-07,1.1651692947660355
2018-07-13,1.16421895256893
2018-07-16,1.1650610669501056
2018-07-17,1.1586337043922001
2018-07-18,1.1580306797240691
2018-07-19,1.1565093119588623
2018-07-20,1.1623550595207415
2018-07-23,1.1591787880286364
2018-07-24,1.1593685024398033
2018-07-25,1.1634776697941693
2018-07-26,1.1582275063897254
2018-07-27,1.1578528804400237
2018-07-30,1.159561485106535
2018-07-31,1.157935236349783
2018-01-08,1.155712281069242
2018-02-08,1.1509715226510548
2018-03-08,1.152650865295943
2018-06-08,1.148967056175196
2018-07-08,1.1514354018112702
2018-08-08,1.1530154331464424
2018-09-08,1.1506262396187514
2018-10-08,1.1466642948269878
2018-08-13,1.1407251585421334
2018-08-14,1.1388827400653396
2018-08-15,1.1346983488079536
2018-08-16,1.1363365134708292
2018-08-17,1.1397118482802049
2018-08-20,1.1449301516495478
2018-08-21,1.1495328020636715
2018-08-22,1.1508019820028543
2018-08-23,1.1442452441835442
2018-08-24,1.1534517085724487
2018-08-27,1.1554842422527731
2018-08-28,1.156443767101081
2018-08-29,1.1560588497465802
2018-08-30,1.1539704790832401
2018-08-31,1.1536383241275008
2018-03-09,1.1522198494916904
2018-04-09,1.1486119196957418
2018-05-09,1.1511286069383955
2018-06-09,1.153321339266382
2018-07-09,1.149819834666343
2018-10-09,1.1500382491602177
2018-11-09,1.1493825548603722
2018-12-09,1.1535173717809242
2018-09-13,1.1544454886647575
2018-09-14,1.1500052584651113
2018-09-17,1.1542333907979925
2018-09-18,1.1524824611705133
2018-09-19,1.1538373606525514
2018-09-20,1.158720306689043
2018-09-21,1.1548610120421199
2018-09-24,1.153746951336529
2018-09-25,1.1545765470426153
2018-09-26,1.1525600356173082
2018-09-27,1.1446088143101654
2018-09-28,1.146069880792376
2018-01-10,1.142725403906414
2018-02-10,1.1452422780045126
2018-03-10,1.1404888288859178
2018-04-10,1.1419125368213754
2018-05-10,1.1440662496765497
2018-08-10,1.1381839131206262
2018-09-10,1.1395835622699049
2018-10-10,1.1425503349614063
2018-11-10,1.1521529778489779
2018-12-10,1.1491620663685542
2018-10-15,1.152559459016522
2018-10-16,1.1516651183354545
2018-10-17,1.1472195123011524
2018-10-18,1.1461020871179628
2018-10-19,1.1480652873905504
2018-10-22,1.144029206573537
2018-10-23,1.1476078164946715
2018-10-24,1.144178257096872
2018-10-25,1.1427984420398294
2018-10-26,1.1459652762941654
2018-10-29,1.1370310965863348
2018-10-30,1.1375914255222015
2018-10-31,1.134754545635442
2018-01-11,1.1456499668022462
2018-02-11,1.1449249049198578
2018-05-11,1.1444983350787192
2018-06-11,1.1434640704676895
2018-07-11,1.1444637456173983
2018-08-11,1.1401929777464477
2018-09-11,1.1351228137191158
