,TALUSD
0,1.2986084617218694
1,1.2943184939547072
2,1.2959071255172574
3,1.3048433489916529
4,1.3078594821196576
5,1.3130543589518968
6,1.3182401845661527
7,1.3140690158986659
8,1.3129604331324576
9,1.312481193311783
10,1.3105824458615305
11,1.3076275583139418
12,1.3159054840902564
13,1.3070575667307875
14,1.2952263121306016
15,1.2939587860075326
16,1.2890595915894547
17,1.281410099656451
18,1.2797884167722446
19,1.2703769277591586
20,1.2786713616076557
21,1.2768861957695954
22,1.2715053568157868
23,1.2812239699349965
24,1.2832735071755514
25,1.2843462367236003
26,1.2767700292617423
27,1.281273838726144
28,1.2932128318938871
29,1.2873054858265742
30,1.2974523122316537
31,1.2938832039602914
32,1.296937804789648
33,1.309084492444275
34,1.3008755790134745
35,1.3002936597683308
36,1.3069847814882152
37,1.3109791731972977
38,1.309957645330862
39,1.3152590173492427
40,1.3128571035207195
41,1.3086574972876739
42,1.302967189455869
43,1.2818432704489513
44,1.2785252812353625
45,1.2749393186600801
46,1.273370576519541
47,1.2609165227270138
48,1.2561877806215052
49,1.2554984512430156
50,1.2647134159022013
51,1.2568030751658132
52,1.26067296696555
53,1.2563685623094354
54,1.2428834775703768
55,1.2490359003947744
56,1.2479641891686655
57,1.2598653461930502
58,1.2709749862622965
59,1.2689257495305994
60,1.2682483321613567
61,1.2752380158518222
62,1.2700642457372187
63,1.269450432885923
64,1.2720052843981358
65,1.2846516891960074
66,1.2867794482987667
67,1.2802363211687087
68,1.2870461388918972
69,1.2891228809184545
70,1.289673760312036
71,1.28780182086362
72,1.2866210713018271
73,1.2794104719031332
74,1.2844350945476855
75,1.2842188805960442
76,1.2824906664080404
77,1.287920238255995
78,1.2943233274380244
79,1.293749694546413
80,1.2947544166321743
81,1.288007998137222
82,1.2909167178794294
83,1.302500407730655
84,1.3030485269013696
85,1.301121348138954
86,1.3069348363074378
87,1.3026524109906796
88,1.30021394479712
89,1.3068615106189436
90,1.3057157075175398
91,1.3147102077955615
92,1.311803994635976
93,1.3050160793238783
94,1.3020063245533182
95,1.298164743692098
96,1.301004274614035
97,1.2972586872301306
98,1.2896998231778982
99,1.2973814158287031
100,1.3004048413323017
101,1.2933689715005317
102,1.2968197078396384
103,1.2909554638033887
104,1.2882540440679036
105,1.2909027304835532
106,1.2894882529656606
107,1.2965683606933962
108,1.299897317977109
109,1.2968534721337308
110,1.303579956855281
111,1.2992996961982846
112,1.3051946796330771
113,1.3028832871115432
114,1.3068831051186454
115,1.3060208173317889
116,1.2986964769194826
117,1.2955514897719986
118,1.2900363830814408
119,1.293506562960214
120,1.292558334511346
121,1.2924551326698686
122,1.3084187550774709
123,1.3074519851980764
124,1.307180573807014
125,1.3164000523342967
126,1.316116104576101
127,1.3206827861673933
128,1.320070125683033
129,1.3196933001400093
130,1.3149464691531427
131,1.3140125393533928
132,1.3046401271382393
133,1.2981646273137135
134,1.2994066717344626
135,1.2980723796310938
136,1.3005991589047774
137,1.2970565459027001
138,1.2882826278595703
139,1.288379717900228
140,1.2882585700480478
141,1.2898774233754784
142,1.2904204289162187
143,1.291320630606376
144,1.288936812302743
145,1.2901401049333445
146,1.283990504659808
147,1.281072279489129
148,1.283665130812072
149,1.2801078261738887
150,1.2834887636296657
151,1.281007904698557
152,1.283406150986436
153,1.2839095693260871
154,1.2759343692570897
155,1.2788601632982874
156,1.2842261328335787
157,1.2852751234927833
158,1.2845969400869175
159,1.28650950104501
160,1.294032306172823
